dataset,algorithm,run,time,cost,optimal_cost,approximation_ratio,gap
ulysses16,christofides_edmonds,1,4.3229e-05,79.4897,74.1087,1.07261,7
ulysses16,christofides_gabow,1,3.0349e-05,75.003,74.1087,1.01207,10
ulysses16,mst2approx,1,1.0782e-05,84.1331,74.1087,1.13527,10
ulysses16,heldkarp,1,0.0412702,73.9876,74.1087,0.998366,11
ulysses22,christofides_edmonds,1,5.106e-05,85.0368,75.6651,1.12386,17
ulysses22,christofides_gabow,1,5.3138e-05,78.4333,75.6651,1.03658,16
ulysses22,mst2approx,1,1.2908e-05,86.7668,75.6651,1.14672,15
ulysses22,heldkarp,1,5.05119,75.3097,75.6651,0.995302,3
a280,christofides_edmonds,1,0.000927949,3109.33,2586.77,1.20201,251
a280,christofides_gabow,1,0.000989282,3022.64,2586.77,1.1685,250
a280,mst2approx,1,0.000443099,3575.45,2586.77,1.38221,252
xql662,christofides_edmonds,1,0.00437905,3001.22,2555.56,1.17439,636
xql662,christofides_gabow,1,0.00593478,2929.48,2555.56,1.14632,628
xql662,mst2approx,1,0.00158809,3648.01,2555.56,1.42748,631
kz9976,christofides_edmonds,1,1.24306,1.26889e+06,1.06188e+06,1.19495,9929
kz9976,christofides_gabow,1,0.629829,1.52529e+06,1.06188e+06,1.43641,9944
kz9976,mst2approx,1,0.462964,1.45792e+06,1.06188e+06,1.37296,9936
