dataset,algorithm,run,time,cost,optimal_cost,approximation_ratio,gap
ulysses16,hylos,1,0.0499609,73.9876,74.1087,0.998366,11
ulysses16,hylos,2,0.0448479,73.9876,74.1087,0.998366,11
ulysses16,hylos,3,0.0439569,73.9876,74.1087,0.998366,11
ulysses16,hylos,4,0.0419121,73.9876,74.1087,0.998366,11
ulysses16,hylos,5,0.0448335,73.9876,74.1087,0.998366,11
ulysses16,hylos,6,0.0427166,73.9876,74.1087,0.998366,11
ulysses16,hylos,7,0.0401582,73.9876,74.1087,0.998366,11
ulysses16,hylos,8,0.0405102,73.9876,74.1087,0.998366,11
ulysses16,hylos,9,0.0423862,73.9876,74.1087,0.998366,11
ulysses16,hylos,10,0.0414004,73.9876,74.1087,0.998366,11
ulysses22,hylos,1,5.13782,75.3097,75.6651,0.995302,3
ulysses22,hylos,2,4.28845,75.3097,75.6651,0.995302,3
ulysses22,hylos,3,4.15337,75.3097,75.6651,0.995302,3
ulysses22,hylos,4,4.27921,75.3097,75.6651,0.995302,3
ulysses22,hylos,5,4.16035,75.3097,75.6651,0.995302,3
ulysses22,hylos,6,4.03773,75.3097,75.6651,0.995302,3
ulysses22,hylos,7,4.12506,75.3097,75.6651,0.995302,3
ulysses22,hylos,8,4.42551,75.3097,75.6651,0.995302,3
ulysses22,hylos,9,4.46517,75.3097,75.6651,0.995302,3
ulysses22,hylos,10,4.41587,75.3097,75.6651,0.995302,3
a280,hylos,1,0.0049131,3857.9,2586.77,1.4914,262
a280,hylos,2,0.00431063,3586.93,2586.77,1.38665,261
a280,hylos,3,1.38221,3909.82,2586.77,1.51147,264
a280,hylos,4,5.67264,3822.74,2586.77,1.4778,258
a280,hylos,5,0.00401808,3713.84,2586.77,1.43571,257
a280,hylos,6,2.18954,3871.99,2586.77,1.49684,264
a280,hylos,7,2.3657,3663.1,2586.77,1.41609,267
a280,hylos,8,0.0214795,3752.3,2586.77,1.45057,265
a280,hylos,9,2.33176,3709.22,2586.77,1.43392,265
a280,hylos,10,0.00703344,3624.71,2586.77,1.40125,266
xql662,hylos,1,3.59456,3645.53,2555.56,1.42651,644
xql662,hylos,2,2.87531,3748.82,2555.56,1.46693,642
xql662,hylos,3,1.11719,3596.29,2555.56,1.40724,645
xql662,hylos,4,0.529216,3803.28,2555.56,1.48824,647
xql662,hylos,5,0.42691,3573.83,2555.56,1.39845,645
xql662,hylos,6,0.928731,3620.74,2555.56,1.41681,642
xql662,hylos,7,0.675076,3528.04,2555.56,1.38053,640
xql662,hylos,8,0.44296,3576.42,2555.56,1.39947,640
xql662,hylos,9,0.20618,3494.63,2555.56,1.36746,645
xql662,hylos,10,7.50649,3889.89,2555.56,1.52213,645
kz9976,hylos,1,0.140272,1.40995e+06,1.06188e+06,1.32779,9935
kz9976,hylos,2,4.97424,1.41443e+06,1.06188e+06,1.33202,9940
kz9976,hylos,3,4.98274,1.43846e+06,1.06188e+06,1.35464,9941
kz9976,hylos,4,4.82279,1.42242e+06,1.06188e+06,1.33953,9947
kz9976,hylos,5,4.36711,1.4309e+06,1.06188e+06,1.34752,9936
kz9976,hylos,6,0.191843,1.40594e+06,1.06188e+06,1.32401,9928
kz9976,hylos,7,4.5288,1.40683e+06,1.06188e+06,1.32486,9925
kz9976,hylos,8,0.154746,1.41656e+06,1.06188e+06,1.33401,9939
kz9976,hylos,9,4.65104,1.42427e+06,1.06188e+06,1.34128,9932
kz9976,hylos,10,0.164064,1.40699e+06,1.06188e+06,1.32501,9936
